Station_Name,Month,Mean_temperature_in_degree_C_Maximum,Mean_temperature_in_degree_C_Minimum,Mean_Rainfall_in_mm
Bhagalpur,April,37.5,23.3,21.5
Bhagalpur,May,37.6,25,63
Bhagalpur,June,35.5,26.3,187.4
Bhagalpur,July,33,26.3,264.5
Bhagalpur,August,32.6,26.3,240.7
Bhagalpur,September,32.8,25.8,211.6
Bhagalpur,October,32.2,23,83.2
Bhagalpur,November,29.4,17.1,5.4
Bhagalpur,December,25.5,12.4,3.3
Bhatinda,January,20.5,4.7,11.4
Bhatinda,February,22.8,7.8,13.2
Bhatinda,March,28.3,12.5,23.5
Bhatinda,April,35.7,18.6,8.8
Bhatinda,May,40,22.7,14.8
Bhatinda,June,41.4,26.8,34.1
Bhatinda,July,36.9,26.3,133.1
Bhatinda,August,35.4,25.3,120.2
Bhatinda,September,35.4,22.6,47
Bhatinda,October,34,16.3,7.8
Bhatinda,November,28.2,9.6,7.7
Bhatinda,December,22.7,5.2,6.8
Bhopal (Bairagarh),January,25.3,10.5,13.2
Bhopal (Bairagarh),February,28.3,12.4,8.7
Bhopal (Bairagarh),March,33.5,17.1,8.4
Bhopal (Bairagarh),April,38.3,21.8,4.3
Bhopal (Bairagarh),May,40.7,25.7,11.7
Bhopal (Bairagarh),June,37.2,25.4,120.2
Bhopal (Bairagarh),July,30.7,23.2,354.1
Bhopal (Bairagarh),August,28.9,22.5,363.3
Bhopal (Bairagarh),September,30.5,21.6,185.1
Bhopal (Bairagarh),October,32,18.5,31
Bhopal (Bairagarh),November,28.9,14.2,12.1
Bhopal (Bairagarh),December,26,10.9,11
Bhubaneshwar (A),January,28.5,15.5,13.1
Bhubaneshwar (A),February,31.6,18.6,25.5
Bhubaneshwar (A),March,35.1,22.3,25.2
Bhubaneshwar (A),April,37.2,25.1,30.8
Bhubaneshwar (A),May,37.5,26.5,68.2
Bhubaneshwar (A),June,35.2,26.1,204.9
Bhubaneshwar (A),July,32,25.2,326.2
Bhubaneshwar (A),August,31.6,25.1,366.8
Bhubaneshwar (A),September,31.9,24.8,256.3
Bhubaneshwar (A),October,31.7,23,190.7
Bhubaneshwar (A),November,30.2,18.8,41.7
Bhubaneshwar (A),December,28.3,15.2,4.9
Bhuj (Rudramata),January,27.1,8.8,2
Bhuj (Rudramata),February,30.1,11.8,1.5
Bhuj (Rudramata),March,35.1,17.4,2.1
Bhuj (Rudramata),April,38.8,22,1.1
Bhuj (Rudramata),May,39.6,25.3,7.5
Bhuj (Rudramata),June,37.5,27.1,38
Bhuj (Rudramata),July,34,26.3,125.7
Bhuj (Rudramata),August,32.8,25.3,103.5
Bhuj (Rudramata),September,34.3,23.9,63.1
Bhuj (Rudramata),October,36.4,20.7,19.7
Bhuj (Rudramata),November,32.7,15.1,8.5
Bhuj (Rudramata),December,28.4,10.1,1
Bikaner,January,22.6,6.5,5.7
Bikaner,February,25.8,9.6,7.8
Bikaner,March,31.9,15.7,6.3
Bikaner,April,37.7,22,11.9
Bikaner,May,41.8,27.1,15.9
Bikaner,June,41.7,29.3,33
Bikaner,July,38.4,28.1,91.1
Bikaner,August,36.5,26.8,82.6
Bikaner,September,36.7,25.2,40.8
Bikaner,October,35.8,20,10.1
Bikaner,November,30.4,12.4,1.9
Bikaner,December,24.7,7.4,3
Cannanore,January,32.7,21.5,4.8
Cannanore,February,33.1,22.3,0.2
Cannanore,March,33.6,24.1,52.3
Cannanore,April,34.1,25.6,41.7
Cannanore,May,33.3,25.3,206.6
Cannanore,June,29.6,23.6,1048.1
Cannanore,July,28.9,23.1,875.5
Cannanore,August,29,23.1,574.4
Cannanore,September,30.1,23.4,200.8
Cannanore,October,31,23.5,221.7
Cannanore,November,32,23,103.3
Cannanore,December,32.5,22,36.5
Chandigarh,January,20.4,6.1,46.6
Chandigarh,February,23.1,8.3,33.9
Chandigarh,March,28.5,13.4,29.3
Chandigarh,April,34.5,18.9,11.3
Chandigarh,May,38.3,23.2,24.2
Chandigarh,June,38.6,25.4,112.6
Chandigarh,July,34,24,276.3
Chandigarh,August,32.8,23.3,282.8
Chandigarh,September,33.1,21.8,179
Chandigarh,October,31.8,17,41.6
Chandigarh,November,27.3,10.5,6.7
Chandigarh,December,22.1,6.7,18.9
Chennai (Minambakkam),January,28.8,20.4,35.3
Chennai (Minambakkam),February,30.5,21.1,13
Chennai (Minambakkam),March,32.6,23,14.5
Chennai (Minambakkam),April,34.7,25.8,15.9
Chennai (Minambakkam),May,37.4,27.6,42.4
Chennai (Minambakkam),June,37.3,27.4,53.9
Chennai (Minambakkam),July,35.3,26.1,99.6
Chennai (Minambakkam),August,34.5,25.5,129.9
Chennai (Minambakkam),September,33.9,25.2,123.5
Chennai (Minambakkam),October,31.8,24.2,284.6
Chennai (Minambakkam),November,29.4,22.6,353
Chennai (Minambakkam),December,28.4,21.2,146.3
Cherrapunji,January,15.7,7.3,19.2
Cherrapunji,February,17.1,8.9,51.5
Cherrapunji,March,20.4,12.5,223.1
Cherrapunji,April,21.9,14.6,684.1
Cherrapunji,May,22.4,16.1,1393.9
Cherrapunji,June,22.4,17.7,2597.5
Cherrapunji,July,22.4,18.2,2622
Cherrapunji,August,22.7,18.2,1793.5
Cherrapunji,September,23,17.8,1113
Cherrapunji,October,22.5,15.7,478
Cherrapunji,November,20.1,12,63.3
Cherrapunji,December,17.1,8.6,13.5
Coimbatore (Pilamedu),January,30.2,18.1,6.6
Coimbatore (Pilamedu),February,32.9,19.2,8.9
Coimbatore (Pilamedu),March,35.5,21.3,12
Coimbatore (Pilamedu),April,36.2,23.3,49.4
Coimbatore (Pilamedu),May,34.7,23.3,68.8
Coimbatore (Pilamedu),June,32,22.3,84.4
Coimbatore (Pilamedu),July,30.8,21.7,34.3
Coimbatore (Pilamedu),August,31.3,21.7,28.4
Coimbatore (Pilamedu),September,32.2,21.8,57.3
Coimbatore (Pilamedu),October,31.3,21.8,136.7
Coimbatore (Pilamedu),November,29.9,20.6,119.3
Coimbatore (Pilamedu),December,29.1,18.8,40.8
Cooch Behar,January,23.7,9.6,8.3
Cooch Behar,February,25.8,11.6,13.1
Cooch Behar,March,29.9,15.8,40.7
Cooch Behar,April,31.7,20.1,127.9
Cooch Behar,May,31,22.2,377.6
Cooch Behar,June,31.1,24.1,766.8
Cooch Behar,July,31.3,24.9,813.4
Cooch Behar,August,31.6,25.1,620.5
Cooch Behar,September,31.3,24.3,519
Cooch Behar,October,30.5,21.2,179.8
Cooch Behar,November,28.1,15.4,9.7
Cooch Behar,December,25.2,11.2,4
Darjeeling,January,9.4,1.8,19.7
Darjeeling,February,10.4,2.9,24.1
Darjeeling,March,14.4,6.3,47.7
Darjeeling,April,17.4,9.4,115.8
Darjeeling,May,18.5,11.5,197.2
Darjeeling,June,19.3,13.6,570
Darjeeling,July,19.4,14.3,781.7
Darjeeling,August,19.6,14.2,635.3
Darjeeling,September,19.2,13.3,437.3
Darjeeling,October,18,10.3,122.5
Darjeeling,November,14.7,6.3,23.5
Darjeeling,December,11.5,3.3,7
Dehra Dun,January,19.3,6,55
Dehra Dun,February,21.5,7.8,58.8
Dehra Dun,March,26.4,12,49
Dehra Dun,April,32.1,16.7,22.5
Dehra Dun,May,35.6,20.7,41.7
Dehra Dun,June,34.8,23,201.8
Dehra Dun,July,30.5,22.8,672.6
Dehra Dun,August,29.4,22.4,728.2
Dehra Dun,September,29.7,20.8,296.5
Dehra Dun,October,28.5,15.7,49.8
Dehra Dun,November,25,10.4,8.6
Dehra Dun,December,21.1,6.8,24.4
Dharmsala,January,14.8,5.9,119.7
Dharmsala,February,16.7,7.5,108.2
Dharmsala,March,21,11.4,241.7
Dharmsala,April,26.1,15.9,58.3
Dharmsala,May,30.3,19.8,64.2
Dharmsala,June,31.4,21.6,222.7
Dharmsala,July,27.3,20.6,876.9
Dharmsala,August,26.4,20.2,864.6
Dharmsala,September,26.4,18.6,375.8
Dharmsala,October,24.9,15,55.8
Dharmsala,November,20.9,10.6,20.8
Dharmsala,December,16.9,7.4,54.9
Dibrugarh/Mohanbari,January,22.7,9.1,32
Dibrugarh/Mohanbari,February,23.9,12.2,78.5
Dibrugarh/Mohanbari,March,26.5,15.6,109.7
Dibrugarh/Mohanbari,April,27.9,18.7,218.7
Dibrugarh/Mohanbari,May,29.4,21.7,316
Dibrugarh/Mohanbari,June,30.9,24,419.5
Dibrugarh/Mohanbari,July,31,24.5,520.9
Dibrugarh/Mohanbari,August,31.6,24.8,443.8
Dibrugarh/Mohanbari,September,30.7,23.8,333.1
Dibrugarh/Mohanbari,October,29.5,20.6,143.4
Dibrugarh/Mohanbari,November,27.1,14.6,24.7
Dibrugarh/Mohanbari,December,24,9.8,18
Gadag,January,30.1,16.5,2.2
Gadag,February,32.9,18.4,1.6
Gadag,March,35.9,21,6.2
Gadag,April,37.3,22.4,37.2
Gadag,May,36.3,22.4,77.6
Gadag,June,31,21.7,81.6
Gadag,July,28.5,21.2,71.6
Gadag,August,28.7,20.8,86.7
Gadag,September,29.8,20.5,126.6
Gadag,October,30.6,20.5,121.1
Gadag,November,29.7,18.3,36.6
Gadag,December,29,16.3,8.6
Gangtok,January,12.6,4.2,31.9
Gangtok,February,14.1,5.5,79.4
Gangtok,March,18.3,8.7,122.2
Gangtok,April,21,11.5,270.9
Gangtok,May,21.7,13.6,527.7
Gangtok,June,22.2,16,611.3
Gangtok,July,22,16.6,628.6
Gangtok,August,22.4,16.5,563.2
Gangtok,September,21.8,15.5,463.4
Gangtok,October,20.9,12.3,177.9
Gangtok,November,17.8,8.7,41.7
Gangtok,December,14.4,5.6,21.1
Gaya,January,23.8,10,20.1
Gaya,February,26.9,12.6,19
Gaya,March,33.4,17.7,11.7
Gaya,April,38.8,23.3,7.5
Gaya,May,40.8,26.7,21.3
Gaya,June,38.1,27.6,137.3
Gaya,July,33.4,26.1,313.9
Gaya,August,32.4,25.7,327.6
Gaya,September,32.6,25.3,205.7
Gaya,October,31.9,21.6,52.6
Gaya,November,28.7,14.8,10
Gaya,December,24.8,10.3,3.6
Gopalpur,January,27.2,16.9,11
Gopalpur,February,28.9,19.5,23.6
Gopalpur,March,30.7,22.6,18.1
Gopalpur,April,31.2,25,20.3
Gopalpur,May,32.4,26.7,53.8
Gopalpur,June,32.3,26.8,138.1
Gopalpur,July,31,26.1,174.6
Gopalpur,August,31.2,25.9,195.9
Gopalpur,September,31.7,25.7,192
Gopalpur,October,31.4,23.8,237.8
Gopalpur,November,29.5,19.7,95.3
Gopalpur,December,27.4,16.4,11.4
Gorakhpur,January,22.9,9.2,14.2
Gorakhpur,February,25.9,11.4,15.2
Gorakhpur,March,32.4,16.4,9.4
Gorakhpur,April,37.4,21.8,11.7
Gorakhpur,May,38.7,25,36.1
Gorakhpur,June,36.7,26.3,166.7
Gorakhpur,July,32.9,26,342.7
Gorakhpur,August,32.4,25.7,339.1
Gorakhpur,September,32.6,24.9,232.3
Gorakhpur,October,32.4,20.9,60.4
Gorakhpur,November,28.8,14.4,4.9
Gorakhpur,December,24.4,10.1,6.2
Gulbarga,January,30.7,16,5
Gulbarga,February,33.6,18.3,5.6
Gulbarga,March,37.3,21.8,7.9
Gulbarga,April,39.6,25,18.6
Gulbarga,May,40.3,26,35.5
Gulbarga,June,35.3,23.7,107.3
Gulbarga,July,31.8,22.5,136.8
Gulbarga,August,31.3,22.2,140.1
Gulbarga,September,31.5,22.1,190.1
Gulbarga,October,32.3,20.9,80.7
Gulbarga,November,30.8,17.8,26.8
Gulbarga,December,29.7,15.2,5.1
Guwahati (Bhorjar),January,23.6,10.2,11.8
Guwahati (Bhorjar),February,26.2,11.9,17.2
Guwahati (Bhorjar),March,29.9,15.8,55.1
Guwahati (Bhorjar),April,31.2,20,147
Guwahati (Bhorjar),May,31.1,22.6,248.9
Guwahati (Bhorjar),June,31.7,24.8,316.8
Guwahati (Bhorjar),July,31.8,25.5,351.2
Guwahati (Bhorjar),August,32.1,25.5,269.4
Guwahati (Bhorjar),September,31.6,24.6,187
Guwahati (Bhorjar),October,30.2,21.9,90.9
Guwahati (Bhorjar),November,27.6,16.7,18.5
Guwahati (Bhorjar),December,24.6,11.7,7.3
Gwalior,January,22.8,7,14.4
Gwalior,February,26.4,9.8,10
Gwalior,March,32.5,15.4,6.5
Gwalior,April,38.6,21.5,4.5
Gwalior,May,42,26.8,11.2
Gwalior,June,40.7,29,67.5
Gwalior,July,34.6,26.4,248.8
Gwalior,August,32.4,25.2,274.4
Gwalior,September,33.1,23.9,151.2
Gwalior,October,33.5,18.3,40.7
Gwalior,November,29.4,11.6,5.8
Gwalior,December,24.6,7.3,7
Hassan,January,27.9,14.1,2.6
Hassan,February,30.3,15.5,5
Hassan,March,32.7,17.7,11.5
Hassan,April,33.3,19.5,56.7
Hassan,May,31.4,19.7,104.9
Hassan,June,26.8,19,88.7
Hassan,July,24.9,18.6,147.9
Hassan,August,25.4,18.5,94.2
Hassan,September,26.9,18.2,106.5
Hassan,October,27.5,18.2,156.1
Hassan,November,26.9,16.5,64.1
Hassan,December,26.7,14.5,14.6
Hissar,January,21.3,5.8,14.8
Hissar,February,24.5,8.5,15.2
Hissar,March,30.5,13.8,14
Hissar,April,36.9,19.6,8.9
Hissar,May,41,24.7,17.3
Hissar,June,41.2,27.8,39.7
Hissar,July,37.2,27.3,133.1
Hissar,August,35.6,26.2,130.6
Hissar,September,35.7,23.9,74.5
Hissar,October,34.4,17.8,29.2
Hissar,November,29.2,10.9,3.2
Hissar,December,23.5,6.5,10.2
Hyderabad (A),January,28.8,15.2,13.2
Hyderabad (A),February,31.9,17.6,7.9
Hyderabad (A),March,35.4,20.8,15.3
Hyderabad (A),April,37.9,24.3,20.2
Hyderabad (A),May,39,26.2,35.7
Hyderabad (A),June,34.5,24,103.8
Hyderabad (A),July,30.8,22.6,169.9
Hyderabad (A),August,29.8,22.1,178.7
Hyderabad (A),September,30.5,22,158.3
Hyderabad (A),October,30.6,20.3,97.2
Hyderabad (A),November,29,16.9,22.4
Hyderabad (A),December,28,14.5,5.9
Imphal/Tulihal,January,21.5,4,12.2
Imphal/Tulihal,February,23.3,6.9,37.5
Imphal/Tulihal,March,26.8,11.2,84.5
Imphal/Tulihal,April,28.6,15.4,120.1
Imphal/Tulihal,May,29,18.3,154.2
Imphal/Tulihal,June,29.1,20.9,262.1
Imphal/Tulihal,July,28.9,21.5,407.3
Imphal/Tulihal,August,29,21.3,198.7
Imphal/Tulihal,September,29,20.2,131.5
Imphal/Tulihal,October,28.1,16.7,112.1
Imphal/Tulihal,November,25.2,10.5,48.1
Imphal/Tulihal,December,22.2,5.1,14
Indore,January,26.5,9.9,7.7
Indore,February,29.3,11.5,2.5
Indore,March,34.2,16.2,2.4
Indore,April,38.4,21,2.4
Indore,May,40.2,24.5,10.6
Indore,June,36.3,24.3,131.9
Indore,July,30.3,22.7,283.7
Indore,August,28.5,22,276.9
Indore,September,30.3,21,183.1
Indore,October,32.2,18,40.1
Indore,November,29.6,13.6,13.3
Indore,December,27.1,10.5,6.3
Jabalpur,January,25.5,9.8,22.2
Jabalpur,February,28.2,11.9,23.4
Jabalpur,March,33.6,16.1,15.5
Jabalpur,April,38.4,21.4,7.7
Jabalpur,May,41.3,26,12.9
Jabalpur,June,37.5,26.4,167.3
Jabalpur,July,30.7,24.1,421.9
Jabalpur,August,29.5,23.6,422.9
Jabalpur,September,30.9,23.1,200.1
Jabalpur,October,31.6,18.8,39.9
Jabalpur,November,28.7,12.7,15
Jabalpur,December,25.9,9.3,9.9
Jagdalpur,January,28.2,11.6,9.1
Jagdalpur,February,30.9,14.3,15.6
Jagdalpur,March,34.9,18.5,16
Jagdalpur,April,37.2,22.2,51.1
Jagdalpur,May,38.1,24.2,73.2
Jagdalpur,June,33.4,23.8,239.6
Jagdalpur,July,28.6,22.3,369.4
Jagdalpur,August,28.4,22.2,377.5
Jagdalpur,September,29.6,22,236.9
Jagdalpur,October,29.9,19.6,101.1
Jagdalpur,November,28.2,14.9,24.3
Jagdalpur,December,27.2,11.1,7.7
Jaipur (Sanganer),January,22.4,8.2,7.5
Jaipur (Sanganer),February,25.4,10.9,10.2
Jaipur (Sanganer),March,31.3,16,4.5
Jaipur (Sanganer),April,37,21.6,8.3
Jaipur (Sanganer),May,40.3,25.7,16.7
Jaipur (Sanganer),June,39.5,27.5,54.7
Jaipur (Sanganer),July,34.2,25.8,214
Jaipur (Sanganer),August,32.3,24.5,213.6
Jaipur (Sanganer),September,33.5,23.2,69.4
Jaipur (Sanganer),October,33.5,19,23.3
Jaipur (Sanganer),November,29.1,13.4,4.2
Jaipur (Sanganer),December,24.4,9.2,3
Jaisalmer,January,23.7,7.6,1.5
Jaisalmer,February,27.1,10.5,3
Jaisalmer,March,32.6,16.4,2.7
Jaisalmer,April,38.2,21.9,21
Jaisalmer,May,41.6,25.6,8.9
Jaisalmer,June,40.8,27,15.1
Jaisalmer,July,37.7,26.5,60.1
Jaisalmer,August,36,25.4,75.8
Jaisalmer,September,36.4,24.2,17.6
Jaisalmer,October,36.1,20.2,2.4
Jaisalmer,November,31,13.4,1.5
Jaisalmer,December,25.5,8.5,2.4
Jammu,January,18.6,7.8,60.7
Jammu,February,21.3,10.1,62.8
Jammu,March,26.1,14.2,59.9
Jammu,April,32.6,19.7,35.7
Jammu,May,38.1,24.7,25.6
Jammu,June,39.8,26.9,72.7
Jammu,July,35.1,25.2,349.6
Jammu,August,33.3,24.7,319.1
Jammu,September,33.3,23.3,139.8
Jammu,October,31.4,18.8,23.8
Jammu,November,26.5,13.1,10.3
Jammu,December,20.9,9,33
Jamshedpur,January,26.2,11.7,14
Jamshedpur,February,29.3,14.5,25.7
Jamshedpur,March,34.4,18.6,26.1
Jamshedpur,April,38.9,23.7,37.5
Jamshedpur,May,39.6,26.2,57.2
Jamshedpur,June,36.2,26.2,205.3
Jamshedpur,July,32.3,25.1,292.5
Jamshedpur,August,31.8,25.2,306.5
Jamshedpur,September,32.1,24.6,208.8
Jamshedpur,October,31.5,21.7,82.2
Jamshedpur,November,29,16.1,10.1
Jamshedpur,December,26.2,11.7,6.1
Jharsuguda,January,27.6,12.2,16.1
Jharsuguda,February,30.7,15,19.7
Jharsuguda,March,35.5,19.2,18
Jharsuguda,April,40,24.1,18
Jharsuguda,May,41.4,26.9,36.1
Jharsuguda,June,36.9,26.3,211.8
Jharsuguda,July,31.5,24.7,377.3
